ServiceID,Importance,sBandwidth,sCores,rEBandwidth,rECores,rCBandwidth,rCCores
140,387,15,10,7.5,5.0,7.5,5.0
141,60,30,10,15.0,5.0,15.0,5.0
142,482,30,6,15.0,3.0,15.0,3.0
143,8,25,6,12.5,3.0,12.5,3.0
144,27,10,10,5.0,5.0,5.0,5.0
145,499,35,6,17.5,3.0,17.5,3.0
146,74,35,6,17.5,3.0,17.5,3.0
147,348,60,10,30.0,5.0,30.0,5.0
148,493,15,10,7.5,5.0,7.5,5.0
149,98,35,10,17.5,5.0,17.5,5.0
150,410,20,2,10.0,1.0,10.0,1.0
151,11,40,2,20.0,1.0,20.0,1.0
152,243,40,4,20.0,2.0,20.0,2.0
153,296,15,8,7.5,4.0,7.5,4.0
154,52,30,2,15.0,1.0,15.0,1.0
155,398,35,6,17.5,3.0,17.5,3.0
156,254,35,6,17.5,3.0,17.5,3.0
157,469,30,8,15.0,4.0,15.0,4.0
158,472,25,8,12.5,4.0,12.5,4.0
159,405,30,8,15.0,4.0,15.0,4.0
160,360,5,8,2.5,4.0,2.5,4.0
161,295,50,8,25.0,4.0,25.0,4.0
162,71,45,6,22.5,3.0,22.5,3.0
163,149,70,2,35.0,1.0,35.0,1.0
164,269,80,2,40.0,1.0,40.0,1.0
165,427,5,2,2.5,1.0,2.5,1.0
166,331,10,4,5.0,2.0,5.0,2.0
167,306,45,2,22.5,1.0,22.5,1.0
168,428,20,8,10.0,4.0,10.0,4.0
169,430,15,4,7.5,2.0,7.5,2.0
170,249,35,10,17.5,5.0,17.5,5.0
171,447,25,2,12.5,1.0,12.5,1.0
172,54,35,10,17.5,5.0,17.5,5.0
173,304,5,4,2.5,2.0,2.5,2.0
174,104,5,10,2.5,5.0,2.5,5.0
175,225,20,8,10.0,4.0,10.0,4.0
176,218,35,6,17.5,3.0,17.5,3.0
177,180,15,4,7.5,2.0,7.5,2.0
178,266,25,6,12.5,3.0,12.5,3.0
179,479,35,6,17.5,3.0,17.5,3.0
180,142,15,10,7.5,5.0,7.5,5.0
181,448,35,6,17.5,3.0,17.5,3.0
182,451,60,4,30.0,2.0,30.0,2.0
183,375,30,6,15.0,3.0,15.0,3.0
184,250,60,8,30.0,4.0,30.0,4.0
185,439,70,6,35.0,3.0,35.0,3.0
186,18,5,2,2.5,1.0,2.5,1.0
187,30,80,2,40.0,1.0,40.0,1.0
188,369,5,4,2.5,2.0,2.5,2.0
189,399,10,10,5.0,5.0,5.0,5.0
190,467,70,10,35.0,5.0,35.0,5.0
191,156,20,10,10.0,5.0,10.0,5.0
192,32,20,8,10.0,4.0,10.0,4.0
193,184,50,8,25.0,4.0,25.0,4.0
194,370,65,8,32.5,4.0,32.5,4.0
195,37,5,2,2.5,1.0,2.5,1.0
196,48,55,2,27.5,1.0,27.5,1.0
197,336,15,6,7.5,3.0,7.5,3.0
198,228,75,4,37.5,2.0,37.5,2.0
199,246,20,8,10.0,4.0,10.0,4.0
200,23,35,10,17.5,5.0,17.5,5.0
201,113,35,8,17.5,4.0,17.5,4.0
202,40,25,4,12.5,2.0,12.5,2.0
203,110,45,2,22.5,1.0,22.5,1.0
204,57,25,4,12.5,2.0,12.5,2.0
205,397,55,8,27.5,4.0,27.5,4.0
206,244,35,4,17.5,2.0,17.5,2.0
207,464,70,6,35.0,3.0,35.0,3.0
208,416,50,2,25.0,1.0,25.0,1.0
209,486,5,6,2.5,3.0,2.5,3.0
210,474,50,2,25.0,1.0,25.0,1.0
211,83,30,4,15.0,2.0,15.0,2.0
212,123,5,8,2.5,4.0,2.5,4.0
213,223,35,8,17.5,4.0,17.5,4.0
214,195,15,4,7.5,2.0,7.5,2.0
215,498,25,4,12.5,2.0,12.5,2.0
216,314,20,10,10.0,5.0,10.0,5.0
217,344,70,4,35.0,2.0,35.0,2.0
218,217,65,6,32.5,3.0,32.5,3.0
219,112,30,4,15.0,2.0,15.0,2.0
220,239,50,6,25.0,3.0,25.0,3.0
221,484,30,10,15.0,5.0,15.0,5.0
222,105,45,4,22.5,2.0,22.5,2.0
223,432,25,4,12.5,2.0,12.5,2.0
224,238,10,6,5.0,3.0,5.0,3.0
225,491,15,6,7.5,3.0,7.5,3.0
226,227,10,4,5.0,2.0,5.0,2.0
227,17,25,6,12.5,3.0,12.5,3.0
228,374,40,10,20.0,5.0,20.0,5.0
229,407,30,6,15.0,3.0,15.0,3.0
230,126,80,6,40.0,3.0,40.0,3.0
231,333,35,6,17.5,3.0,17.5,3.0
232,371,80,2,40.0,1.0,40.0,1.0
233,179,50,8,25.0,4.0,25.0,4.0
234,3,15,4,7.5,2.0,7.5,2.0
235,73,10,8,5.0,4.0,5.0,4.0
236,182,10,2,5.0,1.0,5.0,1.0
237,164,25,6,12.5,3.0,12.5,3.0
238,497,65,8,32.5,4.0,32.5,4.0
239,483,10,4,5.0,2.0,5.0,2.0
240,7,60,8,30.0,4.0,30.0,4.0
241,21,10,4,5.0,2.0,5.0,2.0
242,458,20,6,10.0,3.0,10.0,3.0
243,339,35,8,17.5,4.0,17.5,4.0
244,101,5,6,2.5,3.0,2.5,3.0
245,490,30,8,15.0,4.0,15.0,4.0
246,171,25,10,12.5,5.0,12.5,5.0
247,403,10,8,5.0,4.0,5.0,4.0
248,300,55,2,27.5,1.0,27.5,1.0
249,292,30,4,15.0,2.0,15.0,2.0
250,258,10,2,5.0,1.0,5.0,1.0
251,272,5,4,2.5,2.0,2.5,2.0
252,154,5,8,2.5,4.0,2.5,4.0
253,457,15,10,7.5,5.0,7.5,5.0
254,152,15,4,7.5,2.0,7.5,2.0
255,202,15,10,7.5,5.0,7.5,5.0
256,200,20,10,10.0,5.0,10.0,5.0
257,191,50,8,25.0,4.0,25.0,4.0
258,127,35,8,17.5,4.0,17.5,4.0
259,379,30,6,15.0,3.0,15.0,3.0
260,81,75,8,37.5,4.0,37.5,4.0
261,136,35,4,17.5,2.0,17.5,2.0
262,34,25,6,12.5,3.0,12.5,3.0
263,251,5,10,2.5,5.0,2.5,5.0
264,176,35,10,17.5,5.0,17.5,5.0
265,206,75,10,37.5,5.0,37.5,5.0
266,114,5,2,2.5,1.0,2.5,1.0
267,216,25,8,12.5,4.0,12.5,4.0
268,70,15,6,7.5,3.0,7.5,3.0
269,19,30,2,15.0,1.0,15.0,1.0
270,138,30,8,15.0,4.0,15.0,4.0
271,477,50,8,25.0,4.0,25.0,4.0
272,86,75,6,37.5,3.0,37.5,3.0
273,377,35,6,17.5,3.0,17.5,3.0
274,20,35,10,17.5,5.0,17.5,5.0
275,396,80,4,40.0,2.0,40.0,2.0
276,63,35,4,17.5,2.0,17.5,2.0
277,145,55,6,27.5,3.0,27.5,3.0
278,298,15,6,7.5,3.0,7.5,3.0
279,421,20,2,10.0,1.0,10.0,1.0
280,90,75,4,37.5,2.0,37.5,2.0
281,263,5,10,2.5,5.0,2.5,5.0
282,128,35,10,17.5,5.0,17.5,5.0
283,393,25,8,12.5,4.0,12.5,4.0
284,476,80,10,40.0,5.0,40.0,5.0
285,289,25,6,12.5,3.0,12.5,3.0
286,157,25,10,12.5,5.0,12.5,5.0
287,43,65,6,32.5,3.0,32.5,3.0
288,13,70,10,35.0,5.0,35.0,5.0
289,85,25,8,12.5,4.0,12.5,4.0
290,93,5,8,2.5,4.0,2.5,4.0
291,248,30,6,15.0,3.0,15.0,3.0
292,450,80,6,40.0,3.0,40.0,3.0
293,382,20,10,10.0,5.0,10.0,5.0
294,173,15,4,7.5,2.0,7.5,2.0
295,400,30,2,15.0,1.0,15.0,1.0
296,181,10,4,5.0,2.0,5.0,2.0
297,16,5,2,2.5,1.0,2.5,1.0
298,290,15,8,7.5,4.0,7.5,4.0
299,62,5,2,2.5,1.0,2.5,1.0
300,321,20,2,10.0,1.0,10.0,1.0
301,194,15,2,7.5,1.0,7.5,1.0
302,311,5,4,2.5,2.0,2.5,2.0
303,326,15,4,7.5,2.0,7.5,2.0
304,160,30,6,15.0,3.0,15.0,3.0
305,58,80,4,40.0,2.0,40.0,2.0
306,470,65,6,32.5,3.0,32.5,3.0
307,373,20,8,10.0,4.0,10.0,4.0
308,285,75,6,37.5,3.0,37.5,3.0
309,319,35,4,17.5,2.0,17.5,2.0
310,165,25,10,12.5,5.0,12.5,5.0
311,444,70,2,35.0,1.0,35.0,1.0
312,453,30,4,15.0,2.0,15.0,2.0
313,478,80,10,40.0,5.0,40.0,5.0
314,51,35,8,17.5,4.0,17.5,4.0
315,337,5,10,2.5,5.0,2.5,5.0
316,213,65,4,32.5,2.0,32.5,2.0
317,260,45,2,22.5,1.0,22.5,1.0
318,299,5,8,2.5,4.0,2.5,4.0
319,163,20,4,10.0,2.0,10.0,2.0
320,33,20,6,10.0,3.0,10.0,3.0
321,388,30,6,15.0,3.0,15.0,3.0
322,361,10,10,5.0,5.0,5.0,5.0
323,166,70,8,35.0,4.0,35.0,4.0
324,79,65,8,32.5,4.0,32.5,4.0
325,122,25,6,12.5,3.0,12.5,3.0
326,38,5,10,2.5,5.0,2.5,5.0
327,277,20,10,10.0,5.0,10.0,5.0
328,78,35,6,17.5,3.0,17.5,3.0
329,466,10,2,5.0,1.0,5.0,1.0
330,301,20,2,10.0,1.0,10.0,1.0
331,124,25,8,12.5,4.0,12.5,4.0
332,338,35,10,17.5,5.0,17.5,5.0
333,140,35,10,17.5,5.0,17.5,5.0
334,129,5,2,2.5,1.0,2.5,1.0
335,59,75,2,37.5,1.0,37.5,1.0
336,345,5,4,2.5,2.0,2.5,2.0
337,401,70,6,35.0,3.0,35.0,3.0
338,343,5,2,2.5,1.0,2.5,1.0
339,366,15,6,7.5,3.0,7.5,3.0
340,346,10,10,5.0,5.0,5.0,5.0
341,381,25,6,12.5,3.0,12.5,3.0
342,276,75,8,37.5,4.0,37.5,4.0
343,147,10,2,5.0,1.0,5.0,1.0
344,281,25,4,12.5,2.0,12.5,2.0
345,4,15,6,7.5,3.0,7.5,3.0
346,221,65,8,32.5,4.0,32.5,4.0
347,139,65,8,32.5,4.0,32.5,4.0
348,313,20,4,10.0,2.0,10.0,2.0
349,442,75,8,37.5,4.0,37.5,4.0
350,278,10,4,5.0,2.0,5.0,2.0
351,46,10,6,5.0,3.0,5.0,3.0
352,354,45,8,22.5,4.0,22.5,4.0
353,159,35,6,17.5,3.0,17.5,3.0
354,431,20,8,10.0,4.0,10.0,4.0
355,262,35,10,17.5,5.0,17.5,5.0
356,31,25,10,12.5,5.0,12.5,5.0
357,226,20,10,10.0,5.0,10.0,5.0
358,334,45,2,22.5,1.0,22.5,1.0
359,14,25,2,12.5,1.0,12.5,1.0
360,355,5,10,2.5,5.0,2.5,5.0
361,404,65,6,32.5,3.0,32.5,3.0
362,330,25,4,12.5,2.0,12.5,2.0
363,318,15,10,7.5,5.0,7.5,5.0
364,495,20,4,10.0,2.0,10.0,2.0
365,291,50,2,25.0,1.0,25.0,1.0
366,425,25,2,12.5,1.0,12.5,1.0
367,137,40,6,20.0,3.0,20.0,3.0
368,406,25,4,12.5,2.0,12.5,2.0
369,231,25,2,12.5,1.0,12.5,1.0
370,268,40,10,20.0,5.0,20.0,5.0
371,39,15,4,7.5,2.0,7.5,2.0
372,492,20,2,10.0,1.0,10.0,1.0
373,341,60,8,30.0,4.0,30.0,4.0
374,167,5,2,2.5,1.0,2.5,1.0
375,190,50,4,25.0,2.0,25.0,2.0
376,236,65,4,32.5,2.0,32.5,2.0
377,87,20,8,10.0,4.0,10.0,4.0
378,197,35,10,17.5,5.0,17.5,5.0
379,61,25,10,12.5,5.0,12.5,5.0
380,413,30,8,15.0,4.0,15.0,4.0
381,204,60,2,30.0,1.0,30.0,1.0
382,422,15,8,7.5,4.0,7.5,4.0
383,172,50,4,25.0,2.0,25.0,2.0
384,5,20,10,10.0,5.0,10.0,5.0
385,420,20,10,10.0,5.0,10.0,5.0
386,108,20,10,10.0,5.0,10.0,5.0
387,441,5,2,2.5,1.0,2.5,1.0
388,168,20,4,10.0,2.0,10.0,2.0
389,402,25,8,12.5,4.0,12.5,4.0
390,203,5,4,2.5,2.0,2.5,2.0
391,209,10,4,5.0,2.0,5.0,2.0
392,253,20,8,10.0,4.0,10.0,4.0
393,259,15,4,7.5,2.0,7.5,2.0
394,118,50,10,25.0,5.0,25.0,5.0
395,351,20,10,10.0,5.0,10.0,5.0
396,131,5,6,2.5,3.0,2.5,3.0
397,107,5,2,2.5,1.0,2.5,1.0
398,219,5,6,2.5,3.0,2.5,3.0
399,84,15,8,7.5,4.0,7.5,4.0
400,322,35,2,17.5,1.0,17.5,1.0
401,47,10,4,5.0,2.0,5.0,2.0
402,284,25,8,12.5,4.0,12.5,4.0
403,222,60,10,30.0,5.0,30.0,5.0
404,323,35,10,17.5,5.0,17.5,5.0
405,24,15,10,7.5,5.0,7.5,5.0
406,132,25,6,12.5,3.0,12.5,3.0
407,89,65,2,32.5,1.0,32.5,1.0
408,44,45,8,22.5,4.0,22.5,4.0
409,1,35,10,17.5,5.0,17.5,5.0
410,53,30,2,15.0,1.0,15.0,1.0
411,68,55,4,27.5,2.0,27.5,2.0
412,383,15,8,7.5,4.0,7.5,4.0
413,240,10,6,5.0,3.0,5.0,3.0
414,102,60,6,30.0,3.0,30.0,3.0
415,111,25,6,12.5,3.0,12.5,3.0
416,199,75,2,37.5,1.0,37.5,1.0
417,418,60,8,30.0,4.0,30.0,4.0
418,325,5,2,2.5,1.0,2.5,1.0
419,408,5,6,2.5,3.0,2.5,3.0
420,463,35,2,17.5,1.0,17.5,1.0
421,449,60,8,30.0,4.0,30.0,4.0
422,121,25,6,12.5,3.0,12.5,3.0
423,378,75,2,37.5,1.0,37.5,1.0
424,372,75,6,37.5,3.0,37.5,3.0
425,186,25,6,12.5,3.0,12.5,3.0
426,446,5,6,2.5,3.0,2.5,3.0
427,481,80,4,40.0,2.0,40.0,2.0
428,302,65,4,32.5,2.0,32.5,2.0
429,315,70,8,35.0,4.0,35.0,4.0
430,271,50,6,25.0,3.0,25.0,3.0
431,155,15,6,7.5,3.0,7.5,3.0
432,359,15,6,7.5,3.0,7.5,3.0
433,282,15,8,7.5,4.0,7.5,4.0
434,189,30,6,15.0,3.0,15.0,3.0
435,45,70,4,35.0,2.0,35.0,2.0
436,328,40,6,20.0,3.0,20.0,3.0
437,390,25,10,12.5,5.0,12.5,5.0
438,312,80,10,40.0,5.0,40.0,5.0
439,454,75,10,37.5,5.0,37.5,5.0
440,423,80,2,40.0,1.0,40.0,1.0
441,352,10,10,5.0,5.0,5.0,5.0
442,6,15,4,7.5,2.0,7.5,2.0
443,233,35,6,17.5,3.0,17.5,3.0
444,245,5,10,2.5,5.0,2.5,5.0
445,363,10,8,5.0,4.0,5.0,4.0
446,257,50,4,25.0,2.0,25.0,2.0
447,265,10,6,5.0,3.0,5.0,3.0
448,211,20,4,10.0,2.0,10.0,2.0
449,294,10,4,5.0,2.0,5.0,2.0
450,76,35,4,17.5,2.0,17.5,2.0
451,365,10,4,5.0,2.0,5.0,2.0
452,42,15,6,7.5,3.0,7.5,3.0
453,192,65,10,32.5,5.0,32.5,5.0
454,212,5,6,2.5,3.0,2.5,3.0
455,120,15,4,7.5,2.0,7.5,2.0
456,41,20,6,10.0,3.0,10.0,3.0
457,303,25,10,12.5,5.0,12.5,5.0
458,417,10,10,5.0,5.0,5.0,5.0
459,391,50,4,25.0,2.0,25.0,2.0
460,389,75,10,37.5,5.0,37.5,5.0
461,461,55,2,27.5,1.0,27.5,1.0
462,158,55,10,27.5,5.0,27.5,5.0
463,329,10,4,5.0,2.0,5.0,2.0
464,335,75,6,37.5,3.0,37.5,3.0
465,220,25,8,12.5,4.0,12.5,4.0
466,273,20,8,10.0,4.0,10.0,4.0
467,207,40,4,20.0,2.0,20.0,2.0
468,69,30,2,15.0,1.0,15.0,1.0
469,119,25,10,12.5,5.0,12.5,5.0
470,394,35,8,17.5,4.0,17.5,4.0
471,75,15,8,7.5,4.0,7.5,4.0
472,496,20,6,10.0,3.0,10.0,3.0
473,438,25,6,12.5,3.0,12.5,3.0
474,415,10,8,5.0,4.0,5.0,4.0
475,305,20,8,10.0,4.0,10.0,4.0
476,215,15,4,7.5,2.0,7.5,2.0
477,25,5,8,2.5,4.0,2.5,4.0
478,362,20,2,10.0,1.0,10.0,1.0
479,185,20,8,10.0,4.0,10.0,4.0
480,309,25,10,12.5,5.0,12.5,5.0
481,174,25,8,12.5,4.0,12.5,4.0
482,67,30,4,15.0,2.0,15.0,2.0
483,125,30,4,15.0,2.0,15.0,2.0
484,66,5,4,2.5,2.0,2.5,2.0
485,187,5,8,2.5,4.0,2.5,4.0
486,332,35,6,17.5,3.0,17.5,3.0
487,77,5,2,2.5,1.0,2.5,1.0
488,347,55,2,27.5,1.0,27.5,1.0
489,198,15,2,7.5,1.0,7.5,1.0
490,308,15,8,7.5,4.0,7.5,4.0
491,230,5,8,2.5,4.0,2.5,4.0
492,153,75,2,37.5,1.0,37.5,1.0
493,376,35,8,17.5,4.0,17.5,4.0
494,252,30,10,15.0,5.0,15.0,5.0
495,65,25,8,12.5,4.0,12.5,4.0
496,242,15,10,7.5,5.0,7.5,5.0
497,115,15,6,7.5,3.0,7.5,3.0
498,471,45,4,22.5,2.0,22.5,2.0
499,103,65,4,32.5,2.0,32.5,2.0
